label,intento,status_code,latencia_ms,detalle
healthy,1,201,120.8,
healthy,2,201,26.3,
healthy,3,201,20.9,
healthy,4,201,29.9,
healthy,5,201,27.9,
healthy,6,201,30.5,
healthy,7,201,25.7,
healthy,8,201,34.7,
healthy,9,201,28.3,
healthy,10,201,19.0,
healthy,11,201,27.5,
healthy,12,201,27.0,
healthy,13,201,29.2,
healthy,14,201,31.2,
healthy,15,201,25.3,
caida_2s,1,503,2029.2,
caida_2s,2,503,1051.1,
caida_2s,3,503,16.1,
caida_2s,4,503,17.5,
caida_2s,5,503,19.7,
caida_2s,6,503,21.0,
caida_2s,7,503,19.4,
caida_2s,8,503,19.4,
caida_2s,9,503,15.8,
caida_2s,10,503,16.1,
caida_2s,11,503,15.7,
caida_2s,12,503,16.8,
caida_2s,13,503,19.3,
caida_2s,14,503,17.6,
caida_2s,15,503,15.5,
caida_5s,1,503,100.4,
caida_5s,2,503,16.3,
caida_5s,3,503,18.9,
caida_5s,4,503,17.8,
caida_5s,5,503,29.6,
caida_5s,6,503,22.2,
caida_5s,7,503,20.3,
caida_5s,8,503,20.5,
caida_5s,9,503,18.9,
caida_5s,10,503,25.1,
caida_5s,11,503,41.3,
caida_5s,12,503,17.2,
caida_5s,13,503,13.2,
caida_5s,14,503,12.2,
caida_5s,15,503,12.1,
caida_10s,1,503,64.4,
caida_10s,2,503,17.2,
caida_10s,3,503,15.6,
caida_10s,4,503,20.9,
caida_10s,5,503,15.1,
caida_10s,6,503,15.9,
caida_10s,7,503,23.8,
caida_10s,8,503,24.7,
caida_10s,9,503,21.3,
caida_10s,10,503,20.6,
caida_10s,11,503,19.5,
caida_10s,12,503,18.8,
caida_10s,13,503,19.3,
caida_10s,14,503,13.3,
caida_10s,15,503,14.8,
